Order,Family,Genus,Species,MorphoTraitValue,BodyMass_g,MorphoTrait,Original_Unit,DOI
Artiodactyla,Bovidae,Addax,Addax_nasomaculatus,185,107000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Aepyceros,Aepyceros_melampus,175,57610,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Alcelaphus,Alcelaphus_buselaphus,284.9,114750,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Alces,Alces_alces,436,200000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Ammotragus,Ammotragus_lervia,209,110000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Antidorcas,Antidorcas_marsupialis,135.02,36517.86,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Antilocapridae,Antilocapra,Antilocapra_americana,125.6,46750,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Antilope,Antilope_cervicapra,110.83,28800,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Axis,Axis_axis,219,88450,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Suidae,Babyrousa,Babyrousa_babyrussa,127,78000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Bison,Bison_bison,458,431500,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Bos,Bos_grunniens,334,250000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Bos,Bos_taurus,368,618642.42,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Boselaphus,Boselaphus_tragocamelus,271.75,125000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Camelidae,Camelus,Camelus_dromedarius,762,400000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Camelidae,Camelus,Camelus_ferus,576,554515.91,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Capra,Capra_hircus,115,27660,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Capreolus,Capreolus_capreolus,92.66,17472.4,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Cephalophus,Cephalophus_dorsalis,92.9,19998.62,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Cervus,Cervus_elaphus,409.3,200000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Cervus,Cervus_nippon,201,52999.99,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Connochaetes,Connochaetes_taurinus,443,212230,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Dama,Dama_dama,224.5,37195,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Damaliscus,Damaliscus_lunatus,290.57,111000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Damaliscus,Damaliscus_pygargus,254.6,62500,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Eudorcas,Eudorcas_thomsonii,91.8,24370,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Giraffidae,Giraffa,Giraffa_camelopardalis,700,1209000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Hemitragus,Hemitragus_jemlahicus,166,80000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Hippopotamidae,Hexaprotodon,Hexaprotodon_liberiensis,260.02,226986.49,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus_amphibius,720,1351000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Hydropotes,Hydropotes_inermis,53,12760.04,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Kobus,Kobus_ellipsiprymnus,290,188200,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Camelidae,Lama,Lama_glama,264.22,90216.94,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Madoqua,Madoqua_kirkii,37,4570,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Tragulidae,Moschiola,Moschiola_meminna,16.92,1997,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Muntiacus,Muntiacus_muntjak,124.5,16600,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Odocoileus,Odocoileus_virginianus,210,65090,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Giraffidae,Okapia,Okapia_johnstoni,501,230001.14,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Oryx,Oryx_beisa,280,200576.52,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Ourebia,Ourebia_ourebi,58.33,14616.67,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Ovis,Ovis_ammon,140,55000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Ovis,Ovis_aries,126,39097.89,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Tayassuidae,Pecari,Pecari_tajacu,101.5,18309,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Suidae,Phacochoerus,Phacochoerus_aethiopicus,125,65320,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Philantomba,Philantomba_maxwellii,38,3356.67,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Rangifer,Rangifer_tarandus,278,71700,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Raphicerus,Raphicerus_campestris,51.3,10200,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Redunca,Redunca_fulvorufula,120.5,33000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Rupicapra,Rupicapra_rupicapra,117.83,27166.67,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Rusa,Rusa_timorensis,219.79,65765.78,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Cervidae,Rusa,Rusa_unicolor,382.82,176197.6,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Saiga,Saiga_tatarica,91.6,40000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Suidae,Sus,Sus_scrofa,169.8,86772.73,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Sylvicapra,Sylvicapra_grimmia,77.17,12625,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Syncerus,Syncerus_caffer,647.5,665440,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Tayassuidae,Tayassu,Tayassu_pecari,145.8,32233.33,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_eurycerus,389,253000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_oryx,440,400000,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_scriptus,165,44225,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Tragulidae,Tragulus,Tragulus_javanicus,18.9,1889.93,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Tragulidae,Tragulus,Tragulus_napu,18.5,2510,BrainMass,g,10.1038/s41559-024-02451-3
Artiodactyla,Camelidae,Vicugna,Vicugna_vicugna,199.9,46214.77,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Bradypodidae,Bradypus,Bradypus_tridactylus,24.9,4097,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Bradypodidae,Bradypus,Bradypus_variegatus,16.03,3263,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Dasypodidae,Cabassous,Cabassous_unicinctus,23.68,3930,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Dasypodidae,Chaetophractus,Chaetophractus_villosus,15.7,4372.8,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Megalonychidae,Choloepus,Choloepus_didactylus,28.2,5070,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Megalonychidae,Choloepus,Choloepus_hoffmanni,24.53,5048,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Chrysochloridae,Chrysochloris,Chrysochloris_asiatica,0.7,49,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Chrysochloridae,Chrysochloris,Chrysochloris_stuhlmanni,1.06,50.05,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Dasypodidae,Dasypus,Dasypus_novemcinctus,8.5,2743.5,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Dugongidae,Dugong,Dugong_dugon,266,227500,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Echinops,Echinops_telfairi,0.62,87.5,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Macroscelididae,Elephantulus,Elephantulus_fuscipes,1.33,57,BrainMass,g,10.1038/s41559-024-02451-3
Macroscelidea,Macroscelididae,Elephantulus,Elephantulus_intufi,1.14,49.55,BrainMass,g,10.1038/s41559-024-02451-3
Macroscelidea,Macroscelididae,Elephantulus,Elephantulus_myurus,1.37,54.58,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Elephantidae,Elephas,Elephas_maximus,5211.25,2765457.5,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Dasypodidae,Euphractus,Euphractus_sexcinctus,33.5,7990,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Hemicentetes,Hemicentetes_semispinosus,0.83,110,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Limnogale,Limnogale_mergulus,1.15,92,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Elephantidae,Loxodonta,Loxodonta_africana,5436.4,4301340,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Microgale,Microgale_cowani,0.42,15.2,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Microgale,Microgale_talazaci,0.79,50.4,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Micropotamogale,Micropotamogale_lamottei,0.8,64.27,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Myrmecophagidae,Myrmecophaga,Myrmecophaga_tridactyla,84,18940,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Oryzorictes,Oryzorictes_hova,0.58,44.2,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Potamogale,Potamogale_velox,4.05,650,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Procaviidae,Procavia,Procavia_capensis,19.47,2321.67,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Macroscelididae,Rhynchocyon,Rhynchocyon_cirnei,5.9,507.5,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Macroscelididae,Rhynchocyon,Rhynchocyon_petersi,5.4,370,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Setifer,Setifer_setosus,1.51,248,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Myrmecophagidae,Tamandua,Tamandua_tetradactyla,27.5,4361,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Tenrecidae,Tenrec,Tenrec_ecaudatus,2.83,907,BrainMass,g,10.1038/s41559-024-02451-3
Xenarthra,Dasypodidae,Tolypeutes,Tolypeutes_tricinctus,15.1,1465.72,BrainMass,g,10.1038/s41559-024-02451-3
Afrotheria,Trichechidae,Trichechus,Trichechus_manatus,364,756000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Acinonyx,Acinonyx_jubatus,130,50577.92,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Ailuridae,Ailurus,Ailurus_fulgens,46.8,5590,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Arctocephalus,Arctocephalus_australis,307.5,103750,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Arctocephalus,Arctocephalus_forsteri,320,109690,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Arctocephalus,Arctocephalus_galapagoensis,291.25,45950,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Arctocephalus,Arctocephalus_gazella,340,96600,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Arctocephalus,Arctocephalus_philippii,415,140000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Arctocephalus,Arctocephalus_pusillus,369.37,178750,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Arctocephalus,Arctocephalus_tropicalis,326.25,101250,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Procyonidae,Bassariscus,Bassariscus_sumichrasti,41.9,2722,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Callorhinus,Callorhinus_ursinus,334.83,150916.67,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Canidae,Canis,Canis_aureus,64,9658.7,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Canidae,Canis,Canis_lupus,120.23,33113.11,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Canidae,Canis,Canis_mesomelas,54.8,8000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Hyaenidae,Crocuta,Crocuta_crocuta,175,62370,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Cystophora,Cystophora_cristata,455,282840,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Erignathus,Erignathus_barbatus,460,281000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Eumetopias,Eumetopias_jubatus,661.25,643775,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Felis,Felis_catus,28.4,2500,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Felis,Felis_silvestris,28.05,3140.51,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Viverridae,Genetta,Genetta_tigrina,15.35,1525,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Halichoerus,Halichoerus_grypus,307.5,194000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Ursidae,Helarctos,Helarctos_malayanus,385.5,45020,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Hydrurga,Hydrurga_leptonyx,712.5,345500,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Herpestidae,Ichneumia,Ichneumia_albicauda,28.3,4400,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Leopardus,Leopardus_pardalis,63.1,9525.5,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Leptailurus,Leptailurus_serval,54.1,11340,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Leptonychotes,Leptonychotes_weddellii,564.17,378666.67,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Lobodon,Lobodon_carcinophaga,586.25,222250,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Mustelidae,Lutra,Lutra_lutra,45.7,8868.69,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Canidae,Lycalopex,Lycalopex_gymnocercus,35,4542.67,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Lynx,Lynx_canadensis,69.5,14969,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Lynx,Lynx_rufus,65,6350,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Mustelidae,Martes,Martes_foina,22,1675,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Mustelidae,Martes,Martes_martes,19.1,1299.99,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Ursidae,Melursus,Melursus_ursinus,267,136080,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Mephitidae,Mephitis,Mephitis_mephitis,10.15,1980,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Mirounga,Mirounga_leonina,1205,2006500,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Monachus,Monachus_monachus,480,280500,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Monachus,Monachus_schauinslandi,370,173000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Mustelidae,Mustela,Mustela_erminea,4.57,156.43,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Mustelidae,Mustela,Mustela_putorius,7.87,915,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Procyonidae,Nasua,Nasua_narica,44.17,6250,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Procyonidae,Nasua,Nasua_nasua,37.5,3187.5,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Neophoca,Neophoca_cinerea,388.75,189275,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Odobenidae,Odobenus,Odobenus_rosmarus,1410.25,1022225,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Ommatophoca,Ommatophoca_rossii,495,179400,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Otariidae,Otaria,Otaria_byronia,506.25,222000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Canidae,Otocyon,Otocyon_megalotis,26.09,3335,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Panthera,Panthera_leo,259.5,84000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Panthera,Panthera_onca,150,83943.09,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Panthera,Panthera_pardus,135,48000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Felidae,Panthera,Panthera_tigris,269.73,195000,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Viverridae,Paradoxurus,Paradoxurus_hermaphroditus,25.95,2773.5,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Phoca,Phoca_fasciata,248.75,87580,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Phoca,Phoca_groenlandica,276.69,132129.56,BrainMass,g,10.1038/s41559-024-02451-3
Carnivora,Phocidae,Phoca,Phoca_largha,253.75,91500,BrainMass,g,10.1038/s41559-024-02451-3
